;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-05-13;8,099999819;9,999999776;7,469999833;7,59999983;10,81999976;11,39999975;7,529999832;7,569999831;7,949999822;7,679999828;12,76999971;14,28999968;15,78999965;23,74999947
2014-05-14;7,709999828;8,379999813;8,469999811;8,349999813;11,11999975;11,87999973;7,959999822;6,749999849;8,04999982;11,64999974;9,369999791;18,92999958;13,2799997;23,21999948
2014-05-15;6,68999985;8,349999813;13,5299997;13,78999969;14,24999968;12,32999972;7,309999837;6,959999844;8,609999808;12,54999972;6,359999858;21,57999952;10,59999976;22,3599995
2014-05-16;10,02999978;13,97999969;13,10999971;13,5499997;14,49999968;13,3799997;9,039999798;6,499999855;10,63999976;12,14999973;6,469999855;21,30999952;9,899999779;20,92999953
2014-05-17;10,25999977;14,43999968;10,72999976;11,89999973;13,2299997;15,47999965;9,729999783;6,879999846;12,52999972;12,50999972;8,599999808;19,66999956;10,81999976;20,64999954
2014-05-18;13,99999969;15,32999966;10,93999976;13,14999971;12,57999972;16,23999964;12,54999972;10,88999976;13,97999969;13,3599997;9,479999788;18,0599996;12,65999972;21,11999953
2014-05-19;12,71999972;12,81999971;11,94999973;12,64999972;11,99999973;18,1099996;15,03999966;15,07999966;15,11999966;15,61999965;11,57999974;11,04999975;13,4399997;19,97999955
2014-05-20;13,3199997;14,97999967;13,14999971;12,36999972;13,4199997;16,82999962;16,72999963;16,51999963;15,53999965;16,48999963;12,04999973;11,00999975;15,02999966;18,36999959
2014-05-21;13,5799997;16,99999962;12,26999973;13,05999971;12,04999973;13,5499997;18,71999958;18,34999959;17,32999961;17,9099996;14,31999968;10,91999976;15,29999966;16,42999963
2014-05-22;11,86999973;18,93999958;8,219999816;7,999999821;10,20999977;14,77999967;21,36999952;21,37999952;15,37999966;19,99999955;15,64999965;13,00999971;16,66999963;15,85999965
2014-05-23;12,64999972;19,86999956;7,949999822;7,389999835;10,48999977;13,5599997;13,82999969;15,25999966;14,16999968;19,47999956;16,55999963;11,49999974;18,67999958;16,47999963
2014-05-24;11,65999974;20,35999954;9,889999779;9,559999786;10,86999976;13,4099997;13,68999969;15,28999966;13,6299997;19,11999957;17,01999962;11,48999974;18,27999959;17,26999961
2014-05-25;9,919999778;19,55999956;10,97999975;10,89999976;11,84999974;12,76999971;16,42999963;17,15999962;13,5999997;19,53999956;15,76999965;11,21999975;18,1099996;17,39999961
